Year,AvgHousePrice,NumBedroom
2017,57075.69603396005,1
2018,60722.43511207087,1
2019,66059.05966541117,1
2020,71117.53468597788,1
2021,80726.87234525553,1
2022,87885.30344464164,1
2023,91470.88774523676,1
2024,95798.13142060296,1
2000,27649.146353816384,1
2001,28745.460470808222,1
2002,29631.228830673303,1
2003,30729.96610591545,1
2004,31637.73096117684,1
2005,31744.013477164583,1
2006,32970.98447284369,1
2007,34387.55179058248,1
2008,35399.96256001109,1
2009,35075.75617787351,1
2010,35612.20501796263,1
2011,34600.995702622655,1
2012,34231.49907904072,1
2013,34611.93884623013,1
2014,36375.11604430761,1
2015,37393.11380692995,1
2016,40646.68022192525,1
2017,41433.596718894274,1
2018,44015.97892134067,1
2019,46250.89860718048,1
2020,50250.60703232429,1
2021,58580.160001981254,1
2022,65448.04201533431,1
2023,64433.823759745865,1
2024,66660.00813675846,1
2000,87249.7179856604,1
2001,91795.3665131552,1
2002,94172.64408757654,1
2003,100353.03440310551,1
2004,112854.2306944256,1
2005,132468.80234741885,1
2006,155978.96300921644,1
2007,165191.80788392352,1
2008,150658.0863828258,1
2009,132857.90741592064,1
2010,124225.9912915152,1
2011,114271.25645390112,1
2012,111966.12873990332,1
2013,118115.89416572911,1
2014,124543.97726344396,1
2015,135032.71944116658,1
2016,150134.28924671264,1
2017,165034.00092963912,1
2018,181942.50465930856,1
2019,194449.66202130416,1
2020,210796.642177322,1
2021,249989.41943092516,1
2022,282878.5618728596,1
2023,279115.9223928299,1
2024,279760.44368664885,1
2000,55548.39421795119,1
2001,57880.68246728723,1
2002,61900.014878558184,1
2003,66958.68812938711,1
2004,72529.61923215471,1
2005,79699.81714132057,1
2006,86470.37994821285,1
2007,90603.31911169534,1
2008,90364.2844178336,1
2009,86866.85795622066,1
2010,86291.54740233142,1
2011,81663.63687163721,1
2012,79593.40597546112,1
2013,77424.88627251863,1
2014,77291.44594565275,1
2015,78590.74750689924,1
2016,79830.51269807994,1
2017,82926.43233295513,1
2018,88737.11198376666,1
2019,90117.54317201723,1
2020,96897.96698989684,1
2021,111772.54027997234,1
2022,120742.76209478844,1
2023,127302.5334646014,1
2024,132206.0841735879,1
2000,83696.144088273,1
2001,94714.89442243813,1
2002,111298.58869737214,1
2003,134626.44567861335,1
2004,159982.976513142,1
2005,181486.89257673585,1
2006,190920.41801126592,1
2007,184507.3881231011,1
2008,172971.78523822362,1
2009,150270.61411312735,1
2010,144089.03483516577,1
2011,132784.9796968972,1
2012,122417.47054249524,1
2013,125423.975188487,1
2014,133785.61856038115,1
2015,139677.9870846205,1
2016,149164.61247978863,1
2017,161297.71788854137,1
2018,173543.93756111126,1
2019,184113.6037502153,1
2020,198240.4356510029,1
2021,226112.2488204303,1
2022,252314.56662473045,1
2023,268992.4771091469,1
2024,284562.70257510967,1
2000,123633.3188944925,1
2001,134001.34013549078,1
2002,128284.92133667924,1
2003,122923.95679421458,1
2004,128552.26814838553,1
2005,143785.39137793443,1
2006,166073.87493808693,1
2007,171043.70747528938,1
2008,159936.9092053745,1
2009,143087.71587039556,1
2010,123911.56163866358,1
2011,103713.49070605272,1
2012,100820.41546374804,1
2013,96828.23064577323,1
2014,100839.88417430106,1
2015,104109.34612846548,1
2016,104357.05090806156,1
2017,108776.30099395188,1
2018,108222.19559908236,1
2019,114586.97578083554,1
2020,121209.22965599695,1
2021,140518.5808068336,1
2022,169978.94382415983,1
2023,180235.10583916865,1
2024,179010.4762094321,1
2006,68908.47733735188,1
2007,69838.15815035929,1
2008,79925.01563928869,1
2009,85057.85315448337,1
2010,82905.48802467699,1
2011,80986.14922364663,1
2012,75898.95336622892,1
2013,78797.747887687,1
2014,82333.30033226409,1
2015,84207.7983321094,1
2016,88578.93545976703,1
2017,83868.12477855461,1
2018,89007.82492424009,1
2019,93743.07786823128,1
2020,102640.25757657144,1
2021,114729.7715107313,1
2022,131134.602470894,1
2023,138569.0021826951,1
2024,141151.7021033849,1
2000,66739.7871407044,1
2001,69202.96330748915,1
2002,71111.38234519045,1
2003,71836.8481708217,1
2004,75098.34217431792,1
2005,78979.14008046969,1
2006,82813.42730183582,1
2007,85923.35650292915,1
2008,85924.705730373,1
2009,81681.90391383063,1
2010,78173.32469205573,1
2011,74874.70641007597,1
2012,73530.43487422234,1
2013,74926.62033063793,1
2014,78291.34781053818,1
2015,81445.83838784488,1
2016,87302.83496376497,1
2017,94399.21081254203,1
2018,103632.14005462974,1
2019,110767.28871394912,1
2020,121934.57162295745,1
2021,149657.87778398392,1
2022,186109.3277171096,1
2023,193779.5257971555,1
2024,197321.6142519274,1
2000,69373.13895598205,1
2001,69431.03595204915,1
2002,69544.03064271102,1
2003,70382.9503708448,1
2004,71898.32251735132,1
2005,71989.47227108465,1
2006,74582.03468172609,1
2007,73282.53259766188,1
2008,73029.91823468979,1
2009,64051.38651019808,1
2010,62061.60032954496,1
2011,60340.639471102106,1
2012,62435.31748193625,1
2013,63944.91070025001,1
2014,68691.27995432733,1
2015,73213.47561762804,1
2016,77970.27724731357,1
2017,82482.99330553575,1
2018,89257.77654052478,1
2019,98597.02625216842,1
2020,106173.66758123906,1
2021,124994.2075156598,1
2022,144289.70597472665,1
2023,144639.3940416466,1
2024,139665.11179271038,1
2000,107864.1005677061,1
2001,118685.35149227032,1
2002,118655.40215142437,1
2003,118579.92862157326,1
2004,119261.97876344528,1
2005,120039.64977413068,1
2006,128483.3756230462,1
2007,144808.22540569972,1
2008,148698.17718695936,1
2009,123793.95804789002,1
2010,113830.00061606387,1
2011,104580.82783396122,1
2012,101867.40761476776,1
2013,110033.46443232248,1
2014,111078.4018921528,1
2015,113713.33962579822,1
2016,126807.33761648709,1
2017,142536.98637677872,1
2018,162544.03976775665,1
2019,180431.28029850777,1
2020,199268.88211800196,1
2021,246059.0391511513,1
2022,297873.2521642268,1
2023,290272.65278662596,1
2024,289354.68735150725,1
2000,63587.34582286471,1
2001,67707.19654877711,1
2002,73109.19218990077,1
2003,79730.21171479217,1
2004,91219.135309584,1
